id,name,location,type, price sale ,bathrooms,price
102,"2-Bedroom House  at Camella Balanga Heights in Balanga City, Bataan | Arielle","Cupang Proper, Balanga",Rent,"2,936,000",1,"29,360"
103,Arezzo Place Davao - Studio Unit  in Davao,"Sasa, Davao",Rent,"2,950,000",1,"29,500"
104,"Arezzo Place Davao - Studio  in Sasa, Davao","Sasa, Davao",Rent,"2,950,000",,"29,500"
105,"2-Bedroom House  at Camella Balanga Heights in Balanga City, Bataan | Crisell","Cupang Proper, Balanga",Rent,"2,958,000",1,"29,580"
106,"Studio Unit  in Suntrust Amadea Tower 1, Quezon City, 2.96M","Paligsahan, Quezon City",Rent,"2,963,760",1,"29,638"
107,"Studio Unit  in Suntrust Amadea - Tower 1, Quezon City","Paligsahan, Quezon City",Rent,"2,963,760",1,"29,638"
108,"2-Bedroom House  at Camella Monticello in San Jose del Monte, Bulacan | Crise","Sapang Palay, San Jose del Monte",Rent,"2,973,000",1,"29,730"
109,"3BR Quadruplex Townhouse (TH-64)  in Avila Heights, Santo Tomas, Batangas","San Antonio, Santo Tomas",Rent,"2,984,737",1,"29,847"
110,"1-Bedroom Condo Unit  in Terraces at Jubilation, Platero, New Binan, Laguna","Platero, Binan",Rent,"3,000,000",1,"30,000"
111,"2-Storey 3-Bedroom Townhome Inner Unit  - Estanzia Enclave, Tanza Cavite","Halayhay, Tanza",Rent,"3,000,000",1,"30,000"
112,"3-Bedroom Duplex House and Lot  in Villaggio Enclave, General Trias, Cavite","Buenavista I, General Trias",Rent,"3,000,000",1,"30,000"
113,"Fully-finished 1-Bedroom Condo Unit  in Terraces at Tradizo, Imus Cavite","Anabu II-A, Imus",Rent,"3,000,000",1,"30,000"
114,1BR Unit (30 sqm)  in Moldex Residences Silang Cavite near Dasmarinas,"Biluso, Silang",Rent,"3,000,000",1,"30,000"
115,"Duplex House and Lot Back to Back  in Ajoya Capas, Tarlac - with Special Offe","Talaga, Capas",Rent,"3,000,000",,"30,000"
116,Studio Unit  in Davao - Arezzo Place Davao,"Sasa, Davao",Rent,"3,010,000",1,"30,100"
117,"Arezzo Place Davao - Studio  in Sasa, Davao","Sasa, Davao",Rent,"3,010,000",1,"30,100"
118,"Arezzo Place Davao - Studio  in Sasa, Davao","Sasa, Davao",Rent,"3,010,000",2,"30,100"
119,"2-Bedroom 2-Storey House  at Camella Taal in Buli, Taal, Batangas | Ezabelle,","Buli, Taal",Rent,"3,012,000",1,"30,120"
120,"Cityland One Taft Residences, 1-Bedroom Unit  in Malate, Manila","Malate, Manila",Rent,"3,020,930",1,"30,209"
121,"Studio Unit  in Suntrust Amadea - Tower 2, Quezon City","Paligsahan, Quezon City",Rent,"3,040,080",1,"30,401"
